Date	Venue	Field	Start	End	League	Home Team	Away Team	Referee	Lineman	Field Judge	Side Judge
2024-06-08	Luzern	Field 3	16:20	17:20	HARWY A	A Midland Bouncers	A Zurich Renegades A	A Winterthur Warriors Gold	A Winterthur Warriors Gold	A Winterthur Warriors Gold	A Winterthur Warriors Gold
2024-06-08	Luzern	Field 3	17:30	18:30	HARWY A	A Basel Spartans Navy	A Blackbucks Uni Bern Gold	Andreas Capeder	A Zurich Renegades A	A Zurich Renegades A	A Zurich Renegades A
2024-06-16	Geneva	Field 1	9:20	10:20	W	W Neuchâtel Knights	W Winterthur Warriors	W Geneva Seahawks	W Geneva Seahawks	W Geneva Seahawks	W Geneva Seahawks
2024-06-16	Geneva	Field 1	10:30	11:30	W	W ASVZ Nightbirds	W Geneva Seahawks	W Neuchâtel Knights	W Neuchâtel Knights	W Neuchâtel Knights	W Neuchâtel Knights
2024-06-16	Geneva	Field 1	11:40	12:40	W	W SG Calanda Broncos St. Gallen Bears	W Zurich Renegades W	W Winterthur Warriors	W Winterthur Warriors	W Winterthur Warriors	W Winterthur Warriors
2024-06-16	Geneva	Field 1	12:50	13:50	W	W Geneva Seahawks	W Lugano Rebels	W ASVZ Nightbirds	W ASVZ Nightbirds	W ASVZ Nightbirds	W ASVZ Nightbirds
2024-06-16	Geneva	Field 1	14:00	15:00	W	W SG Calanda Broncos St. Gallen Bears	W Neuchâtel Knights	W Winterthur Warriors	W Lugano Rebels	W Lugano Rebels	W Lugano Rebels
2024-06-16	Geneva	Field 1	15:10	16:10	W	W ASVZ Nightbirds	W Winterthur Warriors	W Geneva Seahawks	W Geneva Seahawks	W Neuchâtel Knights	W Neuchâtel Knights
2024-06-16	Geneva	Field 1	16:20	17:20	W	W Lugano Rebels	W Zurich Renegades W	W SG Calanda Broncos St. Gallen Bears	W SG Calanda Broncos St. Gallen Bears	W SG Calanda Broncos St. Gallen Bears	W SG Calanda Broncos St. Gallen Bears
2024-06-16	Geneva	Field 2	9:20	10:20	HARWY A	A Geneva Seahawks	A Midland Bouncers	A ASVZ Blackbirds	A ASVZ Blackbirds	A ASVZ Blackbirds	A ASVZ Blackbirds
2024-06-16	Geneva	Field 2	10:30	11:30	HARWY A	A ASVZ Blackbirds	A Zurich Renegades A	A Basel Spartans Navy	A Basel Spartans Navy	A Basel Spartans Navy	A Basel Spartans Navy
2024-06-16	Geneva	Field 2	11:40	12:40	HARWY A	A Luzern Pikes	A Basel Spartans Navy	A Winterthur Warriors Gold	A Winterthur Warriors Gold	A Winterthur Warriors Gold	A Winterthur Warriors Gold
2024-06-16	Geneva	Field 2	12:50	13:50	HARWY A	A Midland Bouncers	A Winterthur Warriors Gold	A ASVZ Mockingbirds	A ASVZ Mockingbirds	A ASVZ Mockingbirds	A ASVZ Mockingbirds
2024-06-16	Geneva	Field 2	14:00	15:00	HARWY A	A ASVZ Mockingbirds	A Luzern Pikes	A ASVZ Blackbirds	A ASVZ Blackbirds	A ASVZ Blackbirds	A ASVZ Blackbirds
2024-06-16	Geneva	Field 2	16:20	17:20	HARWY A	A Basel Spartans Navy	A Zurich Renegades A	A Luzern Pikes	A Luzern Pikes	A Luzern Pikes	A Luzern Pikes
2024-06-16	Geneva	Field 3	9:20	10:20	HARWY A	A Luzern Pikes	A Winterthur Warriors Gold	A Blackbucks Uni Bern Gold	A Blackbucks Uni Bern Gold	A Blackbucks Uni Bern Gold	A Blackbucks Uni Bern Gold
2024-06-16	Geneva	Field 3	10:30	11:30	HARWY A	A ASVZ Mockingbirds	A Blackbucks Uni Bern Gold	A Luzern Pikes	A Luzern Pikes	A Luzern Pikes	A Luzern Pikes
